item_code,item,unit,item_group,item_category,2023-01-01,2023-01-09,2023-01-16,2023-01-18,2023-01-19,2023-01-30
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.229591836734694,4.2330000000000005,4.216666666666667,,4.2375,4.257142857142857
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.841666666666667,8.858474576271187,8.822881355932203,,8.8525,8.849137931034482
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.330718954248367,9.332360248447205,9.340434782608696,,9.343271604938272,9.367080745341614
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.76,8.785714285714286,8.8,,8.774999999999999,8.7
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,6.0,6.0,6.0,,6.0,6.0
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.795454545454545,8.795348837209302,8.770625,,8.78808510638298,8.791818181818183
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.094333333333333,7.086354166666666,7.098958333333333,,7.07979797979798,7.085858585858586
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.305,12.359090909090908,12.3276,,12.370000000000001,12.349565217391305
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.644444444444446,8.619277108433735,8.608536585365853,,8.58641975308642,8.603424657534246
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.789426229508196,11.85248,11.926821705426356,,11.933543307086614,11.947647058823529
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.740718562874251,5.730555555555555,5.728823529411764,,5.733428571428572,5.727325581395349
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.796428571428571,6.791666666666667,6.7875,,6.801190476190476,6.8432530120481925
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.4935542168674694,3.488435754189944,3.4880110497237573,,3.4869060773480665,3.4948314606741575
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.9143023255813953,3.9144565217391305,3.9155102040816323,,3.9277551020408166,3.9033333333333333
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,1.0538461538461539,,,,1.0647058823529412,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,8.329411764705883,,,,8.2875,
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,8.047878787878787,,,,8.099393939393938,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,1.131578947368421,,,,1.1291666666666667,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.871232876712329,,,,3.9103896103896107,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,1.7244444444444442,,,,1.7479166666666668,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.791044776119403,,,,3.795588235294118,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.9361363636363635,,,,3.933125,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,6.447619047619048,,,,6.4875,
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,5.6,,,,5.6,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,2.1322580645161286,,,,2.1575757575757577,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,2.44,,,,2.411111111111111,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,17.646470588235296,17.724166666666665,17.862083333333334,,17.977826086956522,17.895
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,40.434749999999994,40.019777777777776,39.53673913043478,36.9,39.485510204081635,39.7198
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,39.33888888888889,38.594,39.15,35.3,38.55692307692308,38.55692307692308
