item_code,item,unit,item_group,item_category,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,30.0,,,,,,,,,,30.0,,,,,,,30.0,,,,,,,,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,19.3,,,,,,,,,,19.3,,,,,,,19.3,,,,,,,,
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,17.4,,,,,,,,,,17.4,,,,,,,17.4,,,,,,,17.8,
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,19.0,,,,,,,,,,19.0,,,,,,,23.0,,,,,,,23.0,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.25,,,,,,,,,,3.25,,,,,,,3.25,,,,,,,3.0,
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.0,,,,,,,,,,8.0,,,,,,,8.0,,,,,,,,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.25,,,,,,,,,,12.445,,,,,,,12.445,,,,,,,12.99,
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,,,,,,,13.211428571428572,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.333333333333333,,,,,,,,,,6.428571428571429,,,,,,,6.333333333333333,,,,,,,6.7272727272727275,
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.575,,,,,,,,,,6.488888888888889,,,,,,,6.488888888888889,,,,,,,6.34,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.3875,,,,,,,,,,8.342857142857143,,,,,,,8.342857142857143,,,,,,,8.275,
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.819692307692307,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.811323529411765,4.99,4.99,,,,,4.815882352941177,4.9,4.9,4.9,4.9,4.9,4.9,4.830735294117647,4.9
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.285,,,,,,,,,,17.492142857142856,,,,,,,16.99388888888889,,,,,,,17.125999999999998,
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.3,,,,,,,,,,21.037499999999998,,,,,,,21.347826086956523,,,,,,,21.342307692307692,
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,43.689,,,,,,,,,,44.142857142857146,,,,,,,44.0,,,,,,,44.5,
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,3.8229807692307696,2.2,2.2,2.2,2.2,2.2,2.2,,2.2,2.2,3.8122857142857143,2.2,2.2,2.2,2.2,2.2,2.2,3.8173394495412847,2.2,2.2,2.2,2.2,2.2,2.2,3.7901941747572816,2.2
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,3.6666666666666665,,,,,,,,,,3.6666666666666665,,,,,,,3.6666666666666665,,,,,,,3.7000000000000006,
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.274533333333334,3.29,3.29,3.29,3.29,,,,3.29,3.29,4.3236842105263165,3.29,3.29,3.29,3.29,3.29,3.29,4.26525641025641,3.29,3.29,3.29,3.29,3.29,3.29,4.220384615384615,3.29
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,5.0,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG,4.5,,,,,,,,,,6.25,,,,,,,6.25,,,,,,,4.5,
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,26.0309375,,,,,,,,,,26.080322580645163,,,,,,,26.107307692307693,,,,,,,26.051599999999997,
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.463333333333334,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.607777777777778,5.49,4.59,4.59,4.59,4.59,4.59,5.529,4.59,4.59,4.59,4.59,4.59,4.59,5.599459459459459,4.59
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.123818181818182,,,,,,,,,,4.142,,,,,,,4.147454545454545,,3.85,,,,,4.153018867924528,
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS,32.85322580645161,,,,,,,,,,33.0375,,,,,,,33.00967741935484,,,,,,,33.109375,
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.89,,,,,,,,,,16.010344827586206,,,,,,,16.363333333333333,,,,,,,16.341379310344827,
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.5,,,,,,,,,,19.663333333333334,,,,,,,19.996666666666666,,,,,,,19.330000000000002,
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.532820512820512,15.19,15.19,15.19,15.19,15.19,15.19,15.79,15.79,15.79,14.46048780487805,13.29,13.29,15.89,15.89,15.89,15.89,14.901860465116279,15.89,15.89,15.89,15.89,15.89,15.89,15.107777777777777,15.89
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.144464285714287,,,8.39,8.39,8.39,8.39,8.39,8.39,,10.071639344262294,8.39,8.99,8.99,8.99,8.99,8.99,9.993125000000001,8.99,8.99,8.99,9.59,9.59,7.69,10.232063492063492,7.69
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.322,,,,3.59,3.59,3.59,3.59,3.59,,5.782,,,,,,,5.8646153846153855,,,,,,,5.928666666666667,
