item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-27,2023-04-28,2023-04-29,2023-04-30
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,4.097105263157895,,,,,4.027887323943662,,,,,2.39,2.39,3.7356179775280896,3.1950000000000003,3.49,3.764831460674157,,3.820120481927711,3.49,3.49,3.49
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,7.763380281690141,,,,,7.4925,5.99,,,,,5.99,6.147922077922078,6.0,,6.1499999999999995,,6.17,,,
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,4.585714285714286,,,,,4.5600000000000005,,,,,,,4.566666666666666,,,4.6000000000000005,,4.585714285714286,,,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,,,4.44,,,,,4.434615384615385,,,,,,,4.434615384615385,,,4.425,,4.434615384615385,,,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,4.161538461538461,,,,,4.147058823529412,,,,,,,4.157142857142857,,,4.161538461538461,,4.166666666666666,,,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,4.4,4.4,4.02923076923077,3.89,3.89,3.89,3.89,4.065,3.89,3.89,3.89,3.89,3.89,3.89,4.153076923076923,3.89,4.4,4.186,4.4,4.106428571428571,4.4,4.4,4.4
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,,,14.0,,,,,14.0,,,,,,,14.0,,,14.0,,14.0,,,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.89,4.89,5.163353293413174,4.89,4.89,4.89,4.89,5.238666666666667,4.89,4.89,4.89,4.89,4.89,4.89,5.025895953757225,4.945,4.89,5.021299435028248,4.89,5.022865168539325,4.89,4.89,4.89
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,,,10.843207547169813,,,,,10.61921568627451,,,,,,,7.0236,,,7.2850909090909095,,7.261896551724138,,,
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,,12.955000000000002,,,,,12.9,,,,,,,12.672222222222222,,,12.672222222222222,,12.838888888888889,,,
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,31.75,31.75,27.45967741935484,31.75,31.75,31.75,31.75,26.905172413793103,31.75,31.75,31.75,31.75,31.75,31.75,27.682258064516127,28.375,31.75,27.33833333333333,31.75,27.798275862068966,31.75,31.75,31.75
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,7.55,7.55,7.973928571428571,7.55,7.55,7.55,7.55,7.982447552447552,7.99,7.99,7.99,7.99,7.99,7.99,7.990642857142857,7.99,7.99,7.986592592592593,7.99,7.974191176470589,7.99,7.99,7.99
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,1.2,,,,,1.2,,,,,,,1.2,,,1.2,,1.2,,,
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,13.873055555555556,,,,,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,13.795438596491229,,,,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,4.752469135802469,,,,,4.761242603550296,,,,,,,4.7906432748538,,,4.791117647058823,,4.798461538461539,,,
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,9.785688622754492,,,,,9.784880952380954,,,,,,,9.822951807228916,,,9.828035714285715,,9.832202380952381,,,
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,4.327500000000001,,,,,4.318548387096774,,,,,,,4.325409836065574,,,4.3375,,4.324561403508772,,,
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,8.968382352941177,,,,,8.969999999999999,,,,,,,8.969285714285714,,,9.002205882352941,,8.982835820895522,,,
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,9.76782857142857,,,,,9.78546961325967,,,,,,,9.797570621468926,,,9.803294797687862,,9.817953216374269,,,
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,8.657142857142857,,,,,8.65,,,,,,,8.65,,,8.65,,8.6,,,
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,6.0,,,,,,,,,,,,6.0,,,6.0,,6.0,,,
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,8.811132075471699,,,,,8.853636363636364,,,,,,,8.800925925925926,,,8.82232142857143,,8.82232142857143,,,
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,7.1626262626262625,,,,,7.1759803921568635,,,,,,,7.1645,,,7.164851485148515,,7.173500000000001,,,
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,12.458846153846155,,,,,12.422962962962963,,,,,,,12.393461538461539,,,12.412222222222223,,12.393333333333333,,,
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,8.678295454545456,,,,,8.663626373626373,,,,,,,8.650439560439562,,,8.651538461538463,,8.643411764705883,,,
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,12.108407079646017,,,,,12.18836206896552,,,,,,,12.228691588785047,,,12.217155963302753,,12.288800000000002,,,
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,5.730857142857143,,,,,5.735795454545454,,,,,,,5.7395480225988695,,,5.743502824858758,,5.751412429378531,,,
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,7.019176470588235,,,,,7.01183908045977,,,,,,,6.997472527472527,,,6.98445652173913,,6.989662921348315,,,
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,3.531206896551724,,,,,3.5399415204678357,,,,,,,3.5528070175438593,,,3.5547272727272725,,3.559192546583851,,,
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,3.9967889908256877,,,,,3.985398230088496,,,,,,,3.9830434782608695,,,3.9799107142857144,,3.986521739130435,,,
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,1.1051282051282052,,,,,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,8.55625,,,,,
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,8.093333333333334,,,,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,1.146938775510204,,,,,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,3.927906976744186,,,,,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,1.755813953488372,,,,,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,3.751142857142857,,,,,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,3.906041666666667,,,,,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,6.511818181818182,,,,,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,2.321875,,,,,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,2.4250000000000003,,,,,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,18.3,18.3,18.263571428571428,18.3,18.3,18.3,18.3,18.29758620689655,18.3,18.3,18.3,18.3,18.3,18.3,18.290357142857143,18.3,18.3,18.38,18.3,18.422857142857143,18.3,18.3,18.3
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,39.102599999999995,,,,,39.02770833333333,,,,,,,38.886041666666664,,,39.085744680851064,,39.218444444444444,,,
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,38.641666666666666,,,,,38.55833333333333,,,,,,,39.230000000000004,,,38.19230769230769,,37.971428571428575,,,
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,36.9,36.9,38.129107142857144,36.9,36.9,36.9,36.9,38.26418181818181,36.9,36.9,36.9,36.9,36.9,36.9,38.13326923076923,36.9,36.9,38.16849056603774,36.9,38.23734693877551,36.9,36.9,36.9
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,30.9,30.793376623376624,30.9,30.9,30.9,30.9,30.79205128205128,,,,,,,30.787733333333332,,,30.78285714285714,,30.802307692307693,,,
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,30.9,30.87539215686274,30.9,30.9,30.9,30.9,30.88207920792079,30.9,30.9,30.9,30.9,30.9,30.9,30.874158415841585,30.9,30.9,30.8799,30.9,30.883936170212767,30.9,30.9,30.9
