item_code,item,unit,item_group,item_category,2023-02-02,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.7671874999999995,,,,,,,5.7640625000000005,,,,,5.7615,,,,,,,5.755050505050505,
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.773611111111111,,,,,,,5.764788732394367,,,,,5.779411764705882,,,,,,,5.781944444444445,
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.865,,,,,,,6.860975609756098,,,,,6.85609756097561,,,,,,,6.919512195121951,
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.75,,,,,,,6.766666666666667,,,,,6.766666666666667,,,,,,,6.659999999999999,
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.280952380952378,21.0,,,,,,15.815000000000001,,,,,15.63888888888889,,,,,,,15.290476190476191,
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.19090909090909,,,,,,,22.233333333333334,,,,,23.1125,,,,,,,22.990000000000002,
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.985714285714288,,,,,,,21.914285714285715,,,,,21.416666666666668,,,,,,,22.8,
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.874263565891473,,2.99,2.99,2.99,2.99,2.99,3.948682170542636,2.99,2.99,2.99,2.99,3.963125,2.99,2.99,2.99,2.99,2.99,2.99,3.9878030303030303,2.99
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.879444444444445,,7.79,7.79,9.39,9.39,9.29,9.012321428571429,9.29,9.29,10.69,10.69,9.105573770491803,10.69,8.49,8.49,8.49,8.49,8.49,9.345,8.49
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.60891472868217,,,,,,,4.604330708661418,,,,,4.616929133858268,,,,,,,4.622692307692308,
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.499468085106383,,,,,,,4.496774193548387,,,,,4.501098901098901,,,,,,,4.503092783505155,
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.363483146067416,,,,,,,4.364787234042553,,,,,4.37054347826087,,,,,,,4.368645833333333,
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.555878378378378,,,,,,,5.567012987012987,,,,,5.572532467532468,,,,,,,5.574,
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.555696202531646,,,,,,,3.5403846153846152,,,,,3.5613924050632915,,,,,,,3.5606250000000004,
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.210869565217392,,,,,,,7.19828947368421,,,,,7.203141025641026,,,,,,,7.1980128205128215,
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.214069767441861,,,,,,,5.214880952380953,,,,,5.239090909090909,,,,,,,5.262073170731707,
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.797125,,,,,,,8.836341463414634,,,,,8.837857142857143,,,,,,,8.867926829268294,
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.293939393939393,,,,,,,13.32857142857143,,,,,13.329508196721312,,,,,,,13.349180327868853,
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,14.698311688311689,,,,,,,14.722567567567568,,,,,14.7664,,,,,,,14.731794871794872,
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.693636363636363,,,,,,,11.687342657342658,,,,,11.681942446043164,,,,,,,11.667872340425532,
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),2.063266666666667,,,,,,,2.070202702702703,,,,,2.078310810810811,,,,,,,2.084701986754967,
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,3.9499999999999997,,,,,,,,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,18.3,,,,,,,18.3,,,,,16.5,,,,,,,16.5,
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,13.6,,,,,,,13.6,,,,,15.5,,,,,,,15.5,
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,19.0,,,,,,,19.0,,,,,19.0,,,,,,,19.0,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.125,,,,,,,4.125,,,,,4.5,,,,,,,4.5,
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.5,,,,,,,8.5,,,,,8.5,,,,,,,8.0,
