item_code,item,unit,item_group,item_category,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-11,2023-12-12,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,3.09,3.09,3.09,4.292,3.09,3.09,3.09,4.492,3.09,7.49,7.49,5.882777777777778,7.49,7.49,6.488947368421052,7.49,4.99,4.99,4.99,4.99,,,,
1934,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,9.5,,,,9.5,,,,9.5,,,9.5,,,,,,,,,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.3,13.3,13.233066666666668,13.3,13.3,13.3,13.225714285714286,13.3,13.3,13.3,13.202361111111111,11.99,11.99,13.189078947368422,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,30.9,30.341445783132528,,,,30.338888888888885,,,30.9,30.424999999999997,27.99,27.99,30.38642857142857,27.99,27.99,,27.99,27.99,27.99,27.99,27.99,27.99
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,6.9,,,,6.9,,,,6.9,,,6.9,,,,,,,,,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,30.9,30.9,29.999411764705883,30.9,30.9,,30.084500000000002,30.9,30.9,30.9,30.08090909090909,30.9,30.9,30.21695652173913,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,,,,12.46843137254902,,,,12.505799999999999,,,,12.46843137254902,,,12.46843137254902,,,,,,,,,
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,,,,6.5684375,,,10.4,6.5603030303030305,,,,6.6030303030303035,,,6.618181818181818,,,,,,,,,
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.79,0.79,0.79,0.673,0.79,0.79,0.6950000000000001,0.6778125,0.79,0.79,0.79,0.6746875,0.79,0.79,0.6809375,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,1.85,1.85,1.85,1.40625,1.85,1.85,1.525,1.4235294117647062,,,,1.4243589743589742,1.85,,1.42375,1.85,1.85,,,1.85,1.85,1.85,1.85,
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,5.977659574468085,,,6.2,5.951136363636365,,,,5.933720930232559,,,5.940217391304348,,,,,,,,,
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,1.2,,,1.0,1.2999999999999998,,,,1.225,,,1.2333333333333334,,,,,,,,,
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,ROTI,,,,5.5,,,,5.5,,,,,,,5.5,,,,,,,,,
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,1.3333333333333333,,,,1.3333333333333333,,,,1.3333333333333333,,,1.3333333333333333,,,,,,,,,
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,30.964999999999996,,,,30.964999999999996,,,,30.963157894736838,,,30.963157894736838,,,,,,,,,
1952,KRIMER SEJAT CAP F&N,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,4.132470588235294,,,3.9,4.15275,,,,4.149629629629629,,,4.144146341463415,4.2,,,,,,,,
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.2,3.3936781609195403,,,3.55,3.3924418604651163,,,,3.3970930232558136,,,3.3952941176470586,3.55,,3.8,,,,,,
1954,SUSU TEPUNG SEGERA EVERYDAY,900 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,29.559999999999995,,,,29.522222222222222,,,,29.522222222222222,,,29.522222222222222,,,,,,,,,
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,2.7416666666666667,,,,,,,,,
1956,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,71.338,,,,71.338,,,,71.338,,,70.67500000000001,,,,,,,,,
1957,NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,66.42500000000001,,,,66.42500000000001,,,,66.42500000000001,,,66.42500000000001,,,,,,,,,
1958,NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,46.849999999999994,,,,46.849999999999994,,,,46.849999999999994,,,45.8,,,,,,,,,
1959,SUSU SEGAR FARM FRESH,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,8.450000000000001,,,,,,,,,
1960,SUSU SEGAR KURMA FARM FRESH,700 g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,9.116666666666667,,,,,,,,,
1962,NESTUM (ORIGINAL),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,9.1,,,,,,,,,,,9.048550724637682,,,,,,,,,
1963,REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK,550 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,36.45,,,,36.448484848484846,,,,36.465625,,,36.365625,,,,,,,,,
1965,PEDIASURE (VANILA),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,73.5,73.87261904761905,,,,73.71052631578948,,,,73.81818181818181,,,73.91818181818182,,,,,,,,,
1966,MILNA BISKUT RUSK (ASLI),130g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,,7.5,7.275,,,7.9,7.279268292682927,,,,7.321794871794872,,,7.311538461538461,,,,,,,,,
1967,PETPET GOLD+,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,32.96,,,37.6,31.799999999999997,,,,35.13333333333333,,,33.325,,,,,,,,,
1968,DRYPERS WEE WEE DRY (M74),M74,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,39.596666666666664,,,,39.596666666666664,,,,39.596666666666664,,,40.4225,,,,,,,,,
1969,HUGGIES DRY DIAPERS (M72),M72,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,40.0,,,,38.0,,,,38.0,,,37.379999999999995,,,,,,,,,
1970,DIAPEX EASY,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,30.0,,,,29.849999999999998,,,,30.291666666666668,,,30.125,,,,,,,,,
1971,FITTI,M60,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,23.0,,,,23.0,,,,23.0,,,,,,,,,,,,
1972,MAMYPOKO EXTRA DRY,M54,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,44.0475,,,,44.0475,,,,44.0475,,,44.0475,,,,,,,,,
1974,DRYPERS DRYPANTZ,M60,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,35.839999999999996,,,,35.839999999999996,,,,35.839999999999996,,,35.475,,,,,,,,,
