item_code,item,unit,item_group,item_category,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-27,2024-08-28,2024-08-29,2024-08-30
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.8,11.8,11.8,11.8,9.1584,6.29,6.29,6.29,6.29,6.29,9.064545454545454,6.29,6.29,6.29,6.29,6.29,6.29,9.047027027027028,6.29,,9.0,,,,
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,,,,,14.0,,,,,,12.0,,,,,,,12.0,,,,,,,
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,,,,,6.926666666666667,,,,,,6.892307692307693,,,,,,,6.952941176470588,,,,,,,
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,4.19,4.19,4.19,4.19,5.695555555555556,4.19,3.99,3.99,4.49,4.49,5.68551724137931,4.49,4.49,4.49,4.49,3.49,3.49,5.522258064516129,3.49,3.49,3.49,3.49,3.49,,
1934,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,9.5,,,,,,9.5,,,,,,,9.5,,,,,,,
1936,MINYAK MASAK SEBATIAN CAP ADELA GOLD,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,30.84,,,,,,30.84,,,,,,,30.84,,,,,,,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,6.9,,,,,,6.9,,,,,,,6.9,,,,,,,
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,13.3,,,,,,13.298507462686569,,,,,,,13.296202531645571,,,13.3,,,,
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,30.668690476190477,,,,,,30.68535714285714,,,,,,,30.666067415730335,,,,,,,
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,6.900000000000001,,,,,,6.9,,,,,,,6.9,,,,,,,
