item_code,item,unit,item_group,item_category,2022-03-07,2022-03-08,2022-03-14,2022-03-21,2022-03-28
1091,MINYAK MASAK SEBATIAN CAP HELANG,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.35,,9.3425,9.33695652173913,9.384782608695652
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,8.3,,8.3,8.633333333333333,8.633333333333333
1093,MINYAK MASAK SEBATIAN CAP PISAU,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.029411764705882,9.3,9.089285714285714,8.9025,8.833333333333334
1094,MINYAK MASAK TULEN CAP BURUH,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,6.7,6.700000000000001,6.7,6.700000000000001
1095,MINYAK MASAK TULEN CAP VESAWIT,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,29.679310344827584,29.7,29.68846153846154,29.685185185185187,29.685185185185187
1097,SOS CILI MAGGI,500 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.8179899497487435,,4.815833333333333,4.836176470588235,4.863564814814815
1100,MINYAK MASAK TULEN CAP SERI MURNI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,,6.7,6.7,6.7
1101,MINYAK MASAK TULEN CAP SERI MURNI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,12.7,12.7,12.7,12.7,12.7
1105,SUSU ANLENE ACTIFIT 3X COKLAT,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,21.04050632911392,,21.04444444444444,21.057692307692307,21.077848101265822
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,13.312195121951218,,13.252380952380953,13.25576923076923,13.232000000000001
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR,12.810843373493976,,12.828205128205129,12.780722891566265,12.826595744680851
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR,12.183673469387756,,12.27391304347826,12.184615384615382,12.238983050847455
1114,SOS TIRAM KIMBALL,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.839130434782609,,5.838888888888889,5.843956043956044,5.85625
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.64611570247934,,5.6291743119266044,5.653448275862068,5.654741379310345
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.51358024691358,,5.484931506849316,5.496103896103896,5.501369863013699
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.145897435897436,,6.141219512195122,6.17780487804878,6.2058536585365855
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.9,,5.85,5.959999999999999,5.959999999999999
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.205882352941178,,16.85,15.422222222222224,15.731578947368419
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.87142857142857,,16.183333333333334,15.65,15.2125
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.071428571428573,,17.985714285714288,16.785714285714285,15.542857142857143
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.7106923076923075,,3.7355084745762714,3.6835245901639344,3.700703125
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.185820895522388,,8.2515625,8.332857142857142,8.505882352941176
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.437430555555555,4.8,4.43375,4.4341726618705035,4.4521126760563385
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.355045871559633,,4.346039603960396,4.3500000000000005,4.353539823008849
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.846875,,3.8714285714285714,3.8699999999999997,3.8485294117647055
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.285776397515528,5.7,5.286050955414012,5.298,5.307666666666667
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,2.9744186046511625,,2.9575,2.9585365853658536,2.9826086956521736
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.833947368421053,5.9,5.833957219251337,5.868489583333333,5.866844919786096
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),4.704464285714286,4.8,4.698095238095238,4.727927927927928,4.756521739130434
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.984126984126984,,7.964912280701754,8.036290322580646,8.056481481481482
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.993125000000001,,12.958125,12.973214285714286,13.008522727272727
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,14.53611650485437,,14.562551020408165,14.530096153846156,14.498235294117649
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.44108108108108,11.0,11.42013986013986,11.442913907284767,11.440194805194805
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.9346153846153846,,1.9577777777777778,1.941970802919708,1.9431159420289854
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,3.6990598290598293
1371,DAGING LEMBU IMPORT (BLADE),1kg,BARANGAN SEGAR,DAGING,28.633333333333336,,28.2,28.633333333333336,25.45
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,BARANGAN SEGAR,DAGING,33.9,,33.9,33.9,29.8
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,16.996666666666666,,16.996666666666666,18.3,17.45
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,19.75,,19.75,19.75,19.75
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.125,,4.5,3.75,4.0
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.9,,,,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.66,,17.8,15.975,16.95
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,12.971125
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.19,,7.875,6.938461538461539,6.520833333333333
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.459999999999999,,6.177777777777778,6.177777777777778,6.714285714285714
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.3,,8.342857142857143,8.3,8.371428571428572
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.148611111111111,,4.151515151515151,4.144117647058824,4.160294117647059
