item_code,item,unit,item_group,item_category,2022-09-01,2022-09-03,2022-09-05,2022-09-06,2022-09-12,2022-09-14,2022-09-19,2022-09-20,2022-09-25,2022-09-26
1849,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',1kg,BARANGAN BERBUNGKUS,TEPUNG,,,4.959772727272727,5.3,4.972888888888889,,4.979139784946237,,,4.999555555555556
1851,TENOM COFFEE WANG EMAS (SERBUK),180 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,3.75
1854,KORDIAL F&N SUN VALLEY (GRENADINE),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,11.078666666666667
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,3.3693877551020406,3.2,3.386046511627907,,3.3790697674418606,,,3.3560975609756096
1871,KRIMER SEJAT CAIR SAJI,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.276769230769231,3.2,3.287142857142857,,3.287462686567164,,,3.300821917808219
1872,MAYONIS SEBENAR LADY'S CHOICE,220ml,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,6.747916666666666,6.5,6.75360824742268,,6.775257731958762,,,6.781052631578948
1873,KRIMER MANIS CAP TEAPOT,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.5799999999999996,,3.6,,3.6,,,3.563636363636364
1876,PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION),800ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,12.061250000000001
1877,NESCAFE BLEND & BREW 3 IN 1 (PAKET ) - ORIGINAL,28x19g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,13.551162790697676
1879,SEVEN UP LEMON & LIME (TIN),320ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,1.8458333333333332
1880,YOGURT LACTEL (FAT FREE) (STRAWBERRY),125 g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,2.66875
1881,SERBUK CABAI ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,6.084615384615385,,6.084615384615385,,6.050000000000001,,,6.084615384615385
1882,TUNA CAP AYAM (TUNA MAYONNAISE),160 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,7.104190476190476,7.2,7.1022727272727275,7.1,7.106388888888889,,,7.0866972477064225
1884,SABUN SERBUK FAB (PERFECT),720g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,5.07945945945946
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,,,23.473382352941176,,23.78734375,,23.855396825396824,,,24.05857142857143
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,,,21.136363636363637,,21.26888888888889,,20.537209302325582,,,20.946666666666665
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),850g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,27.922830188679242,27.9,28.073398058252426,,27.929611650485437,,,28.001485148514853
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),1kg,BARANGAN SEGAR,DAGING,,,49.25,,49.25,,48.25,,,48.25
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,,,21.125,,21.3,,21.3,,,21.125
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,44.0,,44.0,,,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,29.0,,,,29.0,,,29.0
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,,,16.066666666666666,,16.25,,15.4,,,14.916666666666666
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,15.353333333333333,,14.984615384615385,,15.450000000000001,,,15.826666666666666
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,10.50344827586207,,10.303571428571429,,10.399615384615384,,,10.377407407407407
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,9.197916666666666,,8.771153846153847,,8.736538461538462,,,8.65576923076923
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,4.7,,4.68,,4.65,,,4.666666666666667
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,55.0,,55.0,,,,,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,15.073809523809524,,15.031799999999999,,14.818163265306124,,,14.661800000000001
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,21.37269230769231,,21.11296296296296,,20.699666666666666,,,19.891333333333332
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,9.347450980392157,,9.643673469387755,,9.480754716981133,,,9.481111111111112
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,,,6.355555555555556,,6.288888888888889,,6.344444444444445,,,6.533333333333333
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,,,3.85625,,3.9133333333333336,,3.9133333333333336,,,3.91875
1933,BAWANG KECIL MERAH IMPORT (HOLLAND),1kg,BARANGAN KERING,BAWANG,,,,,,,,,,6.0
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,7.616666666666667,,7.457142857142857,,7.46,,,7.3933333333333335
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,14.674406779661016,14.7,14.314814814814815,,14.306779661016952,,,14.307843137254903
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,34.59197368421052,34.7,33.527272727272724,,33.5,,,33.519354838709674
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,7.5,,7.15,,7.15,,,7.266666666666667
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,14.554285714285713,,14.263333333333334,,14.3,,,14.300000000000002
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,34.46076923076923,34.7,33.42545454545455,,33.5,,,33.5
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,,,12.944230769230769,,12.937254901960783,,12.876470588235295,,,13.0
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,,,6.396764705882354,,6.435,,6.508055555555555,,,6.453783783783783
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,,,0.6053571428571428,,0.619642857142857,,0.6155172413793103,,,0.6124999999999999
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,,,1.2894736842105263,,1.3105405405405406,,1.3354761904761905,,,1.329268292682927
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,5.748076923076923,,5.75188679245283,,5.768867924528302,,,5.769
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,1.275,,1.2555555555555555,,1.25,,,1.1875
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,ROTI,,,5.1,,5.1,,5.1,,,5.1
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,1.1749999999999998,,1.1749999999999998,,1.1800000000000002,,,1.1800000000000002
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,,29.389999999999997,,29.439999999999998,,29.43333333333333,,,29.419047619047618
1952,KRIMER SEJAT CAP F&N,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.6790804597701148,3.5,3.6911627906976743,,3.6855952380952384,,,3.6998850574712643
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.2062337662337663,2.95,3.234285714285714,,3.2376923076923076,,,3.2369135802469136
1954,SUSU TEPUNG SEGERA EVERYDAY,900 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,28.785813953488372,27.5,28.75341463414634,,28.81,,,28.90829268292683
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,2.4583333333333335
1956,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,70.5325,,70.53,,70.53,,,70.5825
1957,NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,67.1975,,67.38285714285715,,67.38666666666667,,,67.38666666666667
1958,NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,45.7,,45.739999999999995,,45.7,,,45.7
1959,SUSU SEGAR FARM FRESH,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,8.014285714285716
1960,SUSU SEGAR KURMA FARM FRESH,700 g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,8.55
1961,ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - TIN,1.5kg,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,93.5,,93.5,,94.85,,,94.85
1962,NESTUM (ORIGINAL),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,8.304609375
1963,REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK,550 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,34.94714285714286,,34.93,,34.945945945945944,,,34.90394736842105
1964,QUAKER OATS INSTANT OATMEALS,1kg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,11.83
1965,PEDIASURE (VANILA),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,68.77250000000001,,68.7578947368421,,68.70277777777778,,,68.73235294117647
1966,MILNA BISKUT RUSK (ASLI),130g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,,6.7653125,,6.76741935483871,6.9,6.840882352941176,,,6.945151515151515
1967,PETPET GOLD+,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,30.459999999999997,30.5,30.587096774193547,32.9,30.53965517241379,,,30.563636363636363
1968,DRYPERS WEE WEE DRY (M74),M74,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,33.881884057971014,33.5,33.81583333333333,,33.763823529411766,,,33.756470588235295
1969,HUGGIES DRY DIAPERS (M72),M72,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,33.611111111111114,31.9,34.1,,33.945,,,33.49444444444444
1970,DIAPEX EASY,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,28.14089285714286,28.9,28.141320754716983,,28.15641509433962,,,28.181296296296296
1971,FITTI,M60,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,23.614,21.9,23.89,25.5,23.714062499999997,,,23.598214285714285
1972,MAMYPOKO EXTRA DRY,M54,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,42.3225,,42.3225,,42.3225,,,42.3225
1973,PETPET DAY NIGHT PANTS,M54,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,25.5,,,,,,,25.5
1974,DRYPERS DRYPANTZ,M60,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,32.66475409836065,31.9,32.57890625,,32.43706896551724,,,32.45175438596491
