item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-04-28,2022-04-29,2022-04-30
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,12.9,13.295555555555554,13.338095238095239,13.331818181818182,13.361363636363636,,13.260416666666666,12.9
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR,,12.818478260869567,12.840425531914894,12.801010101010101,12.76326530612245,,12.759803921568627,12.3
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR,11.7,12.213999999999999,12.233333333333333,12.148529411764706,12.175757575757574,11.7,12.108108108108109,11.7
1114,SOS TIRAM KIMBALL,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,5.882098765432099,5.91474358974359,5.931410256410256,5.9335443037974684,,5.917179487179488,
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.3999999999999995,5.647767857142858,5.630973451327434,5.638362068965518,5.636637931034483,,5.6384955752212385,
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.2,5.505479452054795,5.50774647887324,5.527464788732394,5.5284615384615385,,5.535606060606061,
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.99,6.196341463414634,6.205333333333334,6.227380952380953,6.24625,,6.29125,
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,5.85,5.85,5.85,5.85,,5.85,
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.5,15.166666666666666,15.331578947368422,15.566666666666666,15.436842105263159,,16.173333333333332,
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.5,15.775,18.85,19.558333333333334,19.47,,23.066666666666666,
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.5,15.714285714285714,16.6,18.990909090909092,20.522222222222222,,22.96,
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,4.0,3.605655737704918,3.611764705882353,3.6084745762711865,3.589655172413793,,3.2937719298245614,3.0
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.2,8.711940298507463,9.207313432835821,9.555909090909092,9.564615384615385,,9.489393939393938,9.0
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,4.485434782608696,4.487956204379562,4.469847328244274,4.47389705882353,,4.4864661654135345,
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,4.377876106194691,4.395175438596492,4.374778761061947,4.3848623853211,,4.38963963963964,
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.8,3.859375,3.8466666666666667,3.846774193548387,3.8128571428571427,,3.8474358974358975,
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.25,5.313468208092486,5.328023255813953,5.341437125748503,5.354114285714286,,5.356331360946745,
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,2.8,2.9955555555555553,2.981395348837209,2.981395348837209,2.973170731707317,,2.9625,
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.666666666666667,5.877966101694915,5.895789473684211,5.908947368421053,5.927664974619289,,5.923917525773196,
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),4.833333333333333,4.779439252336449,4.796929824561404,4.812608695652174,4.822727272727272,,4.825,
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,8.051960784313726,8.095370370370372,8.088983050847459,8.132456140350877,,8.135087719298246,
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.05,13.036746987951807,13.030113636363637,13.013124999999999,13.027564102564103,,13.043125,
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,14.498105263157894,14.519157894736844,14.47022222222222,14.464891304347827,,14.509456521739132,
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.333333333333334,11.471835443037975,11.478076923076923,11.473625,11.450774193548387,,11.443311688311688,
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.8,1.9352272727272726,1.9329787234042555,1.9345637583892616,1.9322916666666667,,1.9278169014084507,
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,3.7058474576271183,,,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,,15.0,16.494999999999997,15.0,15.0,,,
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,,19.75,14.5,19.75,14.5,,25.0,
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,52.0,,,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,3.875,3.875,4.0,3.8333333333333335,,3.625,
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,8.0,8.0,8.0,,8.0,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,16.8,14.963333333333333,17.578,17.578,,18.759999999999998,
