item_code,item,unit,item_group,item_category,2022-05-09,2022-05-11,2022-05-13,2022-05-16,2022-05-20,2022-05-23,2022-05-25,2022-05-27,2022-05-30
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.583333333333333,,6.9,11.0,,7.583333333333333,,,7.583333333333333
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.9833333333333334,,4.266666666666667,4.0,6.0,4.456,,,4.597142857142857
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.73125,,4.733333333333333,4.575,,4.6594999999999995,,4.14,4.706
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.693548387096774,,9.332,8.321052631578947,8.833333333333334,8.66825396825397,,10.9,8.577941176470588
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.522222222222222,6.3,5.65945945945946,5.420789473684211,6.0,5.49445945945946,,6.225,5.518533333333333
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.7631578947368425,9.0,8.605882352941178,8.388235294117647,8.0,9.005714285714285,,7.75,8.77837837837838
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.8902439024390243,4.8,4.366666666666666,4.502571428571429,5.25,4.822837837837838,,3.8,5.158333333333333
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.934210526315789,,6.145945945945946,6.093548387096774,5.95,6.148000000000001,,6.8,5.9708
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.381818181818182,,4.4125,4.3,4.3,4.369230769230769,,4.9,4.3
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.203404255319148,,4.256774193548386,4.1,4.1,4.199090909090909,,4.792,4.111111111111111
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.9419354838709673,,3.935294117647059,3.9,3.9,3.9187499999999997,,4.6,3.9064516129032256
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.3125,,4.1,2.9,,3.755555555555555,,6.0,3.457142857142857
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,12.5,,12.5,,,15.0,,,12.5
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.341347150259067,3.4,4.659306930693069,4.090421052631579,4.24,4.406666666666667,,5.357142857142857,4.31050279329609
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,9.1,6.0,8.968421052631578,8.549999999999999,6.55,8.779032258064515,,8.966666666666667,8.413793103448276
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,11.552,,11.764285714285714,11.911111111111111,,11.778260869565216,,,11.881818181818181
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,30.523076923076925,35.0,29.105882352941176,31.866666666666667,25.0,30.845454545454547,,46.5,28.85217391304348
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,8.036416184971099,7.0,7.851111111111111,8.265,7.55,8.039490445859872,,7.9263157894736835,8.010144927536233
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.85,,2.5,1.2,,1.85,,,1.2
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),2.5,,2.5,,,2.5,,,
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,8.0,,,8.0,,8.0,,,8.0
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,12.959999999999999,13.38935294117647,,,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,13.0,13.557777777777778,,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.386013986013986,,4.388421052631578,4.415555555555556,4.3,4.397826086956521,,4.363333333333333,4.413114754098361
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.067961783439491,,9.078857142857142,9.051666666666668,8.9,9.097941176470588,,9.165000000000001,9.088701298701299
