item_code,item,unit,item_group,item_category,2022-10-03,2022-10-07,2022-10-10,2022-10-11,2022-10-13,2022-10-17,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-31
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.5311627906976755,6.566296296296296,6.483333333333333,,,6.539545454545455,,6.584999999999999,6.634705882352941,,6.5,6.285714285714286,,6.544047619047619
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.042857142857143,6.6,5.92,,,5.96,,6.05,6.6,,,,,6.220000000000001
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.60904761904762,16.117272727272727,16.2875,,12.0,16.405,,16.516666666666666,16.443333333333335,,15.6,19.9,,15.76
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.519333333333336,19.048333333333332,18.0125,,,18.354545454545455,,17.514285714285712,15.225,,22.0,24.9,,17.8
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.69,16.675,19.0,,12.0,18.29888888888889,,18.6,15.945,,22.0,23.8,,18.6625
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.9164661654135338,4.010348837209302,3.760869565217391,,3.0,3.918818897637795,3.2,3.7642857142857147,3.8944642857142857,3.6333333333333333,3.785185185185185,4.22,3.5,3.878125
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.171014492753622,8.444444444444445,7.989743589743591,,6.0,8.178461538461539,,8.166666666666666,8.537037037037036,,7.936,10.9,,8.102857142857143
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.5514925373134325,4.5697368421052635,4.568333333333333,,,4.565925925925926,,4.5360000000000005,4.533333333333333,,4.593939393939394,4.585714285714285,,4.5562962962962965
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.474375,4.515873015873016,4.377857142857143,,,4.470315789473684,,4.289375,4.503333333333333,,4.470588235294118,4.531818181818181,,4.46020618556701
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.16987951807229,4.265625,4.114705882352941,,,4.184302325581395,,4.128947368421053,4.216129032258064,4.25,4.136666666666667,4.5,,4.191379310344828
