item_code,item,unit,item_group,item_category,2022-03-07,2022-03-14,2022-03-21,2022-03-22,2022-03-28
1093,MINYAK MASAK SEBATIAN CAP PISAU,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.114375,9.148627450980394,9.170416666666666,8.5,9.327592592592593
1094,MINYAK MASAK TULEN CAP BURUH,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,6.698437500000001,6.698611111111112,,6.699411764705882
1095,MINYAK MASAK TULEN CAP VESAWIT,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,29.678529411764703,29.672753623188402,29.67666666666667,,29.670131578947366
1097,SOS CILI MAGGI,500 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.793157894736843,4.793333333333334,4.808802083333333,,4.826122448979592
1100,MINYAK MASAK TULEN CAP SERI MURNI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,6.7,6.7,,6.7
1101,MINYAK MASAK TULEN CAP SERI MURNI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,12.69375,12.695833333333333,12.694605263157895,,12.695684210526315
1105,SUSU ANLENE ACTIFIT 3X COKLAT,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.7110625,20.716375,20.78432258064516,,20.81197368421053
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,13.228888888888891,13.187878787878788,13.191935483870969,,13.196825396825398
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR,12.686164383561644,12.641744186046513,12.642048192771083,,12.618777777777778
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR,12.114285714285714,12.091525423728813,12.10344827586207,,12.125454545454545
1114,SOS TIRAM KIMBALL,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.871428571428572,5.892336448598131,5.8846788990825685,,5.9032203389830515
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.4323456790123466,5.434970414201183,5.436058823529412,5.7,5.43621301775148
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.403275862068965,5.4024786324786325,5.394655172413793,,5.4347619047619045
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.0997619047619045,6.1377999999999995,6.129318181818181,,6.145625
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.3999999999999995,6.3999999999999995,6.3999999999999995,,6.3999999999999995
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.88127659574468,16.331296296296298,16.969285714285714,,16.660925925925927
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,20.8515625,19.46871794871795,19.07488888888889,,18.922954545454544
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,20.64695652173913,20.098275862068967,18.905833333333334,,18.68166666666667
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.49288,3.4907751937984495,3.534444444444444,,3.524923076923077
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.92974358974359,9.076951219512194,9.212073170731706,,9.25629213483146
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.360270270270271,4.3789655172413795,4.359466666666667,4.3,4.372094594594595
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.263577235772358,4.316311475409836,4.316456692913386,4.3,4.3332
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.7638181818181815,3.7403999999999997,3.7378571428571425,,3.7510909090909093
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.159599999999999,5.169670329670329,5.199890710382514,,5.2294708994709
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,2.918730158730159,2.9298484848484847,2.9267142857142856,,2.930454545454545
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.827295918367348,5.836649214659686,5.844554455445544,,5.858495145631068
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),4.614148148148148,4.674307692307692,4.699328358208955,,4.745597014925373
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.145942028985507,8.143157894736841,8.117066666666666,,8.110129870129871
