item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.034848484848483,,9.089051094890511,8.956549295774648,8.907785714285714,8.857537313432836,8.803577235772359
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.89528735632184,,9.997586206896552,10.003370786516854,10.673484848484849,10.752716049382716,10.73439393939394
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.943809523809524,,14.044177215189874,14.913026315789471,16.086271186440676,16.851803278688525,15.847076923076923
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.646233766233767,,6.572054794520548,6.514722222222222,6.512142857142857,6.501194029850746,6.48421052631579
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.5261538461538464,,2.5112,2.517272727272727,2.4831578947368422,2.5252631578947367,2.6044444444444443
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.549999999999999,,8.864285714285714,8.549999999999999,8.549999999999999,8.742857142857142,8.549999999999999
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.48,,6.411428571428572,6.411428571428572,6.446666666666666,6.411428571428572,6.48
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.449333333333333,,4.455970149253732,4.4455072463768115,4.428225806451613,4.427076923076923,4.399076923076923
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.937567567567568,,5.8548484848484845,5.596857142857142,5.675526315789473,5.926216216216217,5.633333333333334
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.853267326732674,,8.836095238095238,8.843398058252427,8.840337078651684,8.959565217391305,8.762
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.928365384615384,,5.9467592592592595,5.871047619047619,5.708854166666666,5.6422,5.496477272727272
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.24380281690141,,11.245972222222223,11.643194444444443,12.23623188405797,12.22082191780822,11.84590909090909
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.165537190082644,,4.171932773109244,4.14104347826087,3.9908256880733943,4.004495412844037,3.9348453608247422
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.525675675675676,,5.534732142857143,5.5520000000000005,5.63284090909091,5.604210526315789,5.610581395348837
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.294736842105263,,4.294594594594595,4.291666666666667,4.297222222222222,4.3,4.3
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.107142857142857,,4.1031249999999995,4.105084745762711,4.106896551724137,4.10188679245283,4.102564102564102
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.9,,3.9,3.8999999999999995,3.9,3.9000000000000004,3.9
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.1946666666666665,2.9,3.1206521739130437,3.1368888888888886,3.1302631578947366,3.167857142857143,3.0602941176470586
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,10.379999999999999,,10.379999999999999,10.379999999999999,11.0,11.195,12.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.408595505617978,,4.384864864864865,4.362102272727273,4.392674418604652,4.424943181818182,4.391645569620253
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,15.962962962962964,,16.49037037037037,15.998333333333333,16.61952380952381,17.75261904761905,17.495833333333334
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,12.792758620689655,,12.957272727272729,13.005757575757576,12.93,13.028,13.19264705882353
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,31.402631578947368,,31.607499999999998,31.50658536585366,31.578717948717948,32.04416666666666,30.5521875
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,8.134591194968554,,8.135,8.077272727272728,8.081168831168831,8.095394736842104,8.151824817518248
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.0,,1.0,1.0,1.0,1.0,1.0
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,,,,,5.2
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,6.493333333333333,,6.493333333333333,6.493333333333333,6.493333333333333,6.626666666666666,6.793333333333333
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,12.472534562211981,,,,,12.510092592592592,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,13.310089285714286,,,,,13.38595744680851,
