item_code,item,unit,item_group,item_category,2022-02-07,2022-02-08,2022-02-14,2022-02-21,2022-02-22,2022-02-28
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.7460377358490566,,3.8867924528301887,4.165961538461539,,4.039906542056075
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.0492156862745095,,6.5303125,7.189325842696629,,6.102235294117648
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.3,,4.3,4.3,,4.3
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.1,4.1,4.1,4.1,,4.1
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.9,,3.9,3.9000000000000004,,3.8999999999999995
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.133103448275862,,3.1224000000000003,3.1020588235294118,,3.1451351351351353
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,12.5,,11.796666666666667,12.078,,11.8475
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.425153374233129,,4.402193548387097,4.41888198757764,,4.396625
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,17.041428571428572,,16.96212121212121,15.642564102564101,,15.616000000000001
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,12.99891891891892,,12.596451612903227,12.134864864864864,,12.067297297297298
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,32.70666666666666,,32.88297297297297,32.97076923076923,,32.919999999999995
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,8.068750000000001,,8.083049645390071,8.052553191489363,,8.034577464788732
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.0,,1.0,1.0,,1.0
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),5.4,,,,,
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,6.793333333333333,,6.793333333333333,6.793333333333333,,6.995
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,,,,12.62375,13.5,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,13.250816326530614,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.170143884892086,,4.20163120567376,4.2311805555555555,,4.240808823529412
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.73962962962963,,8.78451127819549,8.85514705882353,,8.88612676056338
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,3.567019230769231,,3.5782978723404257,3.5712371134020615,,3.5649450549450554
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.433859649122807,,7.438318584070796,7.493090909090909,,7.5087254901960785
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.722023121387283,,8.785443786982249,8.864374999999999,,8.879807692307692
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.607692307692308,,7.6625000000000005,7.640909090909091,,7.625
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,5.8,,5.8,5.875,,5.816666666666666
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.415161290322581,,8.443295454545455,8.458404255319149,,8.48913043478261
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.942165605095542,,5.942960526315789,5.980596026490066,,6.005526315789474
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.099054054054054,,11.146944444444445,11.165679012345679,,11.229240506329115
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.519499999999999,,12.577222222222224,12.612777777777778,,12.66
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.769007633587786,,7.774923076923077,7.7633846153846156,,7.763333333333334
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),9.50476923076923,,9.528810810810812,9.536063829787233,,9.56929347826087
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.1869565217391305,,4.19125,4.1865853658536585,,4.183333333333334
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.548223350253807,,5.549371727748691,5.544010416666667,,5.5467032967032965
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.544755244755246,,6.529037037037036,6.52136690647482,,6.503206106870229
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.2195408163265307,,3.21489010989011,3.2111290322580643,,3.2148888888888885
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.3076470588235294,,3.3180555555555555,3.2729545454545454,,3.2855
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,1.0805882352941174,1.0,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,7.680000000000001,,
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,,,,7.066530612244898,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,1.065076923076923,,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,3.468101265822785,,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,,,,1.5488095238095236,1.5,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,3.1814583333333335,3.5,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,3.550188679245283,,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,,5.8488541666666665,,
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,,,,5.575,,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,1.8846808510638298,,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,2.221777777777778,,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,14.512714285714285,,14.525454545454545,14.514626865671643,,14.516333333333334
