item_code,item,unit,item_group,item_category,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28
1879,SEVEN UP LEMON & LIME (TIN),320ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,,,1.7449425287356322,,,,
1881,SERBUK CABAI ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,7.7238461538461545,,,,,,,7.738249999999999,,,,,,,7.766111111111111,,,,,7.773714285714285,,,7.8375,
1882,TUNA CAP AYAM (TUNA MAYONNAISE),160 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,7.396106194690265,,,,,,,7.411999999999999,,,,,,,7.459724770642202,,,,,7.472232142857143,,,7.448181818181819,
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,18.07911111111111,18.234607843137255,18.330485436893202,18.31607843137255,18.37872549019608,18.113168316831683,18.056060606060605,18.00232323232323,17.939009900990097,17.8464,20.713225806451614,18.758899999999997,18.726346153846155,18.84592233009709,18.91281553398058,18.784,18.936666666666667,18.86875,18.546990291262134,18.539809523809524,18.08142857142857,18.064038461538463,17.943300970873786,18.129019607843137,18.16368932038835,18.166274509803923
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,23.49833333333333,23.870512820512822,24.35731707317073,24.284146341463416,24.860238095238092,25.068863636363634,25.55309523809524,25.037894736842105,24.85948717948718,24.477435897435896,21.8224,23.897804878048778,23.995384615384612,24.546666666666663,24.470499999999998,24.4955,24.303076923076922,24.25179487179487,23.880249999999997,23.418205128205127,23.410789473684208,23.884473684210523,23.654102564102566,23.6725,23.53243243243243,23.343589743589742
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),850g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,26.697663551401867,,,,,,,26.755727272727274,,,,,,,26.857272727272726,,,,,26.265233644859816,,,25.106,
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),1kg,BARANGAN SEGAR,DAGING,36.425714285714285,34.785000000000004,35.857692307692304,35.876,36.24181818181818,36.959999999999994,36.48799999999999,36.48799999999999,36.38785714285714,36.88846153846154,35.775,36.88846153846154,36.18071428571428,36.74230769230769,36.74230769230769,36.74230769230769,36.74230769230769,36.401428571428575,36.04076923076923,36.26384615384615,37.80384615384615,38.24583333333333,37.660833333333336,37.647333333333336,37.62928571428571,38.07153846153846
1908,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,,,,,,,36.9,36.9,36.9,34.7,34.7
1910,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (LAMB) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,39.9,,,,,,,,,,,,,,,,,,,,,,
1911,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,37.412727272727274,37.57833333333333,37.861666666666665,37.861666666666665,38.928666666666665,39.535333333333334,39.082,38.795,38.5825,38.68866666666667,,38.70928571428571,39.03071428571429,38.62833333333334,38.72615384615385,38.495384615384616,38.495384615384616,38.418461538461536,38.71076923076923,38.856923076923074,38.72866666666667,38.72866666666667,38.849230769230765,39.426153846153845,39.27153846153846,38.78
1912,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,56.9,56.9,56.9,56.9,56.9,,,,,,,,,39.9,39.9
1913,DAGING LEMBU IMPORT (BLOCK),1kg,BARANGAN SEGAR,DAGING,31.363888888888887,30.426499999999997,31.265263157894736,31.2015,31.045909090909092,30.857499999999998,31.04125,30.975769230769227,30.995416666666667,31.039130434782606,,31.186666666666664,31.434782608695652,30.955,31.199199999999998,31.215599999999995,30.749583333333334,31.3352,29.682916666666667,30.414615384615384,31.23913043478261,31.23913043478261,30.349999999999998,31.10375,31.85037037037037,31.556538461538462
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,21.433023255813954,21.434528301886793,21.29169811320755,21.235925925925926,22.035714285714285,22.061568627450978,22.086734693877553,22.165102040816326,22.20042553191489,22.17958333333333,23.127777777777776,22.147058823529413,21.93509090909091,21.937118644067795,21.936153846153843,21.945,21.92241935483871,21.95353846153846,22.05606557377049,22.207758620689653,22.01950819672131,22.220000000000002,22.31,22.376949152542373,22.49741935483871,22.49614035087719
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,52.709,51.85490196078431,52.673947368421054,51.626976744186045,50.39784615384615,50.49197183098591,50.73176470588235,50.649,50.1532,49.758133333333326,46.47714285714286,50.53564102564102,50.46337662337662,48.66525641025641,48.014102564102565,48.360533333333336,49.24972602739726,49.30075,49.2664,49.46802816901408,47.16041095890411,48.10507042253521,49.534507042253516,51.09703125,51.21859375,50.55064935064935
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,29.828571428571426,28.90642857142857,31.14,31.800714285714285,32.776666666666664,30.92,29.735882352941175,30.71521739130435,31.355416666666667,30.20846153846154,21.63375,30.63758620689655,30.379310344827587,31.304799999999997,31.585666666666665,31.54111111111111,31.44607142857143,31.096666666666668,29.872758620689652,30.2572,30.996086956521744,31.34666666666667,30.978333333333335,30.611724137931038,30.45742857142858,30.473823529411767
