item_code,item,unit,item_group,item_category,2022-03-02,2022-03-09,2022-03-16,2022-03-17,2022-03-20,2022-03-23,2022-03-30
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,36.0,,,,,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,12.0,,11.0,11.0,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.0,,,,,5.0,4.0
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.8,6.8,6.8,,,6.8,6.8
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,7.3,7.3,7.8,,,7.0,7.0
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,3.4,3.266666666666667,3.3666666666666667,,,3.3666666666666667,3.5
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,35.333333333333336,37.0,37.0,32.0,,33.25,31.5
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,36.0,36.0,36.0,,,31.666666666666668,29.5
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,2.9333333333333336,3.05,3.075,,,3.075,3.0
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,5.1,5.0,5.0,,,5.0,5.0
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.7,4.4,4.4,,5.0,5.0,4.0
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,31.0,31.0,,,,
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.5,13.5,14.0,18.0,,16.0,15.0
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.6,9.0,10.0,,12.0,9.4,8.5
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.5,6.25,6.625,,7.0,6.8,5.75
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,4.833333333333333,4.833333333333333,5.0,,4.833333333333333,
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,5.5,5.5,5.2,,,5.2,
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,4.0,4.0,4.0,,,4.0,
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.5,25.0,25.5,26.0,,25.25,25.0
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,7.85,7.825,7.75,,,7.75,8.5
1804,KEPAK AYAM (CHICKEN WING) (1KG),1kg,BARANGAN SEGAR,AYAM,13.25,13.25,13.5,,,13.5,
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,7.75,7.75,7.75,,,7.75,8.0
