item_code,item,unit,item_group,item_category,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.977631578947369,6.157317073170732,6.090243902439024,6.108333333333333,6.110344827586207,6.140000000000001,6.180898876404495,6.135714285714285,6.206024096385542,6.085915492957747,6.092207792207793,6.12972972972973,6.004477611940299,6.0698630136986305,6.105194805194805,6.0547619047619055,6.098837209302325,6.101176470588236,6.123255813953489,5.997333333333334,6.1129411764705885,6.1261363636363635,6.134444444444445,6.067816091954023,6.103296703296703,6.13111111111111,6.025316455696203,5.9731707317073175
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.367647058823529,4.391891891891892,4.375,4.458333333333333,4.384615384615385,4.38725,4.364594594594595,4.333055555555556,4.319166666666667,4.328285714285714,4.294117647058823,4.28125,4.351851851851852,4.333333333333333,4.383,4.348181818181819,4.426176470588236,4.442571428571429,4.428285714285715,4.4830000000000005,4.470294117647059,4.426176470588236,4.456857142857143,4.444166666666667,4.386216216216216,4.3813157894736845,4.352647058823529,4.36735294117647
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.931626016260163,3.91804347826087,3.8837583892617453,3.877414965986395,3.8811409395973153,3.828503401360544,3.82020979020979,3.800708661417323,3.8875221238938056,3.7737837837837835,3.764871794871795,3.734344262295082,3.6639,3.669837398373984,3.71032,3.746377952755905,3.720149253731343,3.7015151515151516,3.702238805970149,3.6473214285714284,3.6412213740458017,3.655882352941177,3.643795620437956,3.7056,3.6293233082706764,3.6218045112781954,3.6207207207207204,3.616030534351145
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.990886075949367,12.003218390804598,12.086444444444444,11.956041666666666,11.997878787878788,11.889009900990098,11.8329,12.013298969072165,11.860595238095238,11.944333333333333,11.827849462365592,11.736847826086956,11.936582278481012,11.788901098901098,11.785,11.75041237113402,11.7579,11.7129,11.768265306122448,11.68712643678161,11.63919191919192,11.558058252427184,11.504615384615384,11.552277227722772,11.689532710280373,11.672962962962963,11.58,11.462424242424243
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.736617647058823,5.880886075949367,5.927926829268293,5.916125,5.816125,5.829146341463415,5.901184210526316,5.859275362318841,6.119508196721311,5.937118644067797,5.934912280701755,5.972037037037037,5.787021276595745,5.953518518518519,5.836181818181818,5.82796875,5.729027777777778,5.74972972972973,5.805277777777778,5.749655172413793,5.86,5.88,5.910684931506849,5.84768115942029,5.895694444444445,5.895694444444445,5.860925925925926,5.869076923076923
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.482142857142857,4.51732283464567,4.514503816793893,4.468148148148148,4.509848484848485,4.483458646616541,4.468181818181818,4.46796875,4.4734375,4.459405940594059,4.474,4.489,4.454444444444444,4.432352941176471,4.475675675675676,4.498260869565217,4.5025641025641026,4.440495867768595,4.482258064516128,4.439622641509434,4.448305084745763,4.438095238095238,4.463779527559055,4.429752066115703,4.457364341085271,4.451968503937008,4.429464285714286,4.437007874015748
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,27.0,27.0,27.0,27.0,27.0
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,22.832916666666666,22.9196,22.523333333333333,22.2495,22.062083333333334,22.062083333333334,21.934347826086956,22.211153846153845,22.28217391304348,21.97875,22.2516,22.6516,22.062083333333334,22.2596,22.270416666666666,22.17269230769231,22.1,21.97407407407407,21.5625,21.5625,21.096153846153847,20.95,20.839285714285715,21.403846153846153,21.26774193548387,21.243333333333332,21.314814814814813,21.196428571428573
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.5363636363636362,1.5538461538461539,1.575,1.5538461538461539,1.5692307692307694,1.4454545454545455,1.4454545454545455,1.4454545454545455,1.44,1.4454545454545455,1.4454545454545455,1.4454545454545455,1.4100000000000001,1.5333333333333334,1.5545454545454547,1.5545454545454547,1.5545454545454547,1.5545454545454547,1.5545454545454547,1.488888888888889,1.5545454545454547,1.56,1.5545454545454547,1.55,1.5545454545454547,1.55,1.4555555555555555,1.49
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.819672131147541,6.875,6.8625,6.835365853658536,6.903614457831325,6.9186046511627906,6.916666666666667,6.909722222222222,7.132352941176471,6.886666666666667,6.847222222222222,6.942857142857143,6.9035087719298245,6.888059701492537,6.8828125,6.852459016393443,6.8125,6.776119402985074,6.8059701492537314,6.956140350877193,6.75,6.742424242424242,6.848484848484849,6.82258064516129,6.7898550724637685,6.821428571428571,6.854838709677419,6.8428571428571425
