item_code,item,unit,item_group,item_category,2023-05-02,2023-05-03,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,22.5,,33.0,,,,,,,28.2,,28.9,,28.9,28.9,28.9,28.96666666666667,,28.9
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.2,16.099999999999998,16.099999999999998,17.263333333333332,17.463333333333335,16.599305555555556,17.463333333333335,16.85333333333333,16.466666666666665,16.25,17.6,16.8,18.463333333333335,18.463333333333335,16.871199999999998,18.463333333333335,18.463333333333335,18.463333333333335,18.463333333333335,18.463333333333335,17.463333333333335,16.80625,17.463333333333335,17.463333333333335
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,24.849999999999998,24.849999999999998,24.849999999999998,26.849999999999998,26.849999999999998,20.47490909090909,26.849999999999998,20.267777777777777,26.849999999999998,24.849999999999998,24.849999999999998,24.849999999999998,24.849999999999998,24.849999999999998,20.985964912280703,24.849999999999998,24.849999999999998,24.849999999999998,24.849999999999998,16.9,16.9,21.671355932203387,24.849999999999998,31.130000000000003
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.2,11.1,11.1,11.025,11.025,12.312222222222221,10.95,12.09034090909091,11.7,11.7,12.35,11.7,11.1,11.1,11.575000000000001,11.4,11.4,11.4,11.4,11.433333333333332,11.433333333333332,11.438333333333334,11.433333333333332,11.344444444444443
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.7,6.5,6.5,6.5,6.5,6.5,6.75,6.5,6.5,6.5,6.5,6.5,6.5,6.75,6.5,6.5
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,6.99,6.99,6.99,6.99,6.99,6.819166666666667,,6.848846153846154,,,,,,,6.7824,,,,,,,6.627142857142857,,6.9
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,,,,,,3.358461538461538,,3.358461538461538,,,,,,,3.2607142857142857,,,,,,,3.356666666666667,,
1933,BAWANG KECIL MERAH IMPORT (HOLLAND),1kg,BARANGAN KERING,BAWANG,,,,,,,,,,,,,,,,,,,,,,5.0,,
1934,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,9.99,,9.99,,,,,,,9.99,,,,,,,9.99,,
1935,MINYAK MASAK SEBATIAN CAP ADELA GOLD,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,17.99,,17.744999999999997,,,,,,,17.744999999999997,,,,,,,17.744999999999997,,
1936,MINYAK MASAK SEBATIAN CAP ADELA GOLD,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,30.20285714285714,,31.532857142857146,,,,,,,31.88,,,,,,,31.835555555555555,,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.900000000000001,6.900000000000001,6.900000000000001,6.900000000000001,6.900000000000001,6.8999999999999995,6.900000000000001,6.8999999999999995,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.900000000000001
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.3,13.3,13.3,13.3,13.227523809523808,13.3,13.199035087719299,13.3,13.3,13.3,13.3,13.3,13.3,13.230660377358493,13.300000000000002,13.300000000000002,13.300000000000002,13.300000000000002,13.300000000000002,13.300000000000002,13.257207207207209,13.300000000000002,13.3
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.899999999999995,30.9,30.4,30.4,30.4,30.58655462184874,30.4,30.578429752066114,29.9,30.4,30.5,30.4,30.4,30.4,30.582479338842973,30.23333333333333,30.23333333333333,30.23333333333333,29.9,30.23333333333333,30.23333333333333,30.596240601503762,30.9,30.9
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,,,,,,,6.9,,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.3,,,,13.299000000000001,,13.299000000000001,,,13.3,,,,13.299565217391306,13.3,13.3,13.3,13.3,13.3,13.3,13.2992,13.3,13.3
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,28.9,28.9,28.9,28.9,28.9,30.047608695652176,28.9,30.109166666666663,28.9,28.9,29.9,28.9,28.9,28.9,30.04875,30.9,30.9,30.9,30.9,30.9,30.9,30.04875,30.9,30.9
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,14.9,14.9,14.9,14.9,14.9,13.800666666666666,14.9,13.74655737704918,14.9,14.9,13.5,,14.9,14.9,13.87234375,14.9,14.9,14.9,14.9,14.9,14.9,13.927727272727273,14.9,14.808333333333332
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,6.3,6.3,6.3,6.3,6.3,7.089545454545455,6.3,7.093333333333333,6.3,6.95,6.475,6.3,6.3,6.3,6.974736842105264,6.3,6.3,6.3,6.3,6.3,6.3,6.975384615384616,6.3,6.47375
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.6,0.6,0.6,0.695,0.695,0.7116129032258064,0.695,0.7070967741935484,0.6,0.6,0.65,0.7,0.7,0.7,0.7120689655172413,0.6,0.6,0.6,0.6,0.6,0.6,0.7121311475409836,0.6,0.8071428571428572
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.4381355932203388,1.5333333333333332,1.4396610169491526,1.3,1.3,1.4,1.3,1.3,1.3,1.4290566037735848,1.3,1.3,1.3,1.3,1.3,1.3,1.4266666666666665,1.3,1.5
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,5.9,,,,5.686933333333333,,5.693684210526317,,,5.9,,,,5.675753424657535,,,,,,,5.678648648648649,,5.633333333333333
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,,1.0388888888888888,,1.0388888888888888,,,1.5,,,,1.0150000000000001,,,,,,,1.0388888888888888,,
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,,1.24,,1.24,,,,,,,1.24,,,,,,,1.2642857142857145,,1.225
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,,28.677894736842106,,28.7495,,,,,,,28.790454545454544,,,,,,,28.660476190476192,,28.660476190476192
1952,KRIMER SEJAT CAP F&N,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,3.9,,,,4.032241379310345,,4.041551724137931,,4.1,4.1000000000000005,,,,4.054568965517242,,,,,,,4.041271186440678,,4.23625
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,3.2,,,,3.3346666666666667,,3.3310091743119266,,3.45,3.31,,,,3.339809523809524,,,,,,,3.3386607142857145,,
1954,SUSU TEPUNG SEGERA EVERYDAY,900 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,29.9,,,,28.408255813953485,,28.3214606741573,,,28.7,,,,28.183647058823524,,,,,,,28.5845,27.9,28.2725
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,2.406027397260274,,,,,,,,,
1956,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,71.84911764705882,,71.84783783783783,,,,,,,71.84243243243243,,,,,,,71.89361111111111,,70.99
1957,NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,67.65815789473685,,67.755,,,66.9,,,,67.66775,,,,,,,67.71342105263159,,66.99
1958,NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,46.99454545454545,,46.99454545454545,,,,,,,47.28666666666666,,,,,,,47.108999999999995,,45.69
1959,SUSU SEGAR FARM FRESH,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,8.072000000000001,,,,,,,,,
1960,SUSU SEGAR KURMA FARM FRESH,700 g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,8.817894736842105,,,,,,,,,
1961,ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - TIN,1.5kg,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,94.79666666666667,,94.79666666666667,,,,,,,94.79666666666667,,,,,,,94.25,,94.8
1962,NESTUM (ORIGINAL),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,8.775,,,,8.719071428571429,,,,,,,,,
1963,REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK,550 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,37.5,,,,35.828717948717944,,35.87935897435898,,,,,,,35.87865853658537,,,,,,,35.824444444444445,,35.67857142857143
1964,QUAKER OATS INSTANT OATMEALS,1kg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,10.289,,,,,,,,,
1965,PEDIASURE (VANILA),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,72.96882352941176,,73.0464,,74.0,,,,,73.16083333333334,,,,,,,73.16511111111112,,72.94000000000001
1966,MILNA BISKUT RUSK (ASLI),130g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,,,,,7.5159375,,7.536393442622951,,7.5,6.9,,,,7.511607142857143,,,,,,,7.511333333333334,,
1967,PETPET GOLD+,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,33.7,,,,30.350243902439022,,30.400555555555556,,,,,,,30.444864864864865,,,,,,,30.493333333333332,,
1968,DRYPERS WEE WEE DRY (M74),M74,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,42.3,,,,34.23416666666667,,34.123636363636365,,,,,,,34.38782608695652,,,,,,,34.45782608695652,,38.5
1969,HUGGIES DRY DIAPERS (M72),M72,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,,,33.66166666666667,,33.85708333333333,,,,,,,33.72,,,,,,,33.803333333333335,,37.9
1970,DIAPEX EASY,M70,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,,,27.906756756756756,,27.946615384615384,,,30.45,,,,27.9146875,,,,,,,28.03426470588235,,31.9
1971,FITTI,M60,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,,,23.799999999999997,,23.799999999999997,,,,,,,23.419999999999998,,,,,,,23.419999999999998,,
1972,MAMYPOKO EXTRA DRY,M54,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,,,,,,41.3,,41.3,,,,,,,41.3,,,,,,,41.3,,
