item_code,item,unit,item_group,item_category,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,26.9,30.390714285714285,33.9,33.9,33.9,33.9,33.9,23.4,30.758,30.4,30.4,30.4,30.4,33.9,33.9,29.69066666666667,30.4,26.9,26.9,30.4,33.9,31.06090909090909,,,30.4,29.4,31.9,31.9,30.307777777777776,29.4
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.95,13.772499999999999,,13.0,15.0,15.0,12.266666666666666,15.0,14.513684210526316,11.45,11.45,11.45,11.45,11.45,11.45,14.145263157894737,11.95,15.0,15.0,15.0,16.45,13.698095238095236,13.95,12.266666666666666,11.799999999999999,13.466666666666667,10.799999999999999,12.45,14.562105263157894,13.45
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.8,18.611785714285713,21.0,,17.5,17.2,16.7,15.899999999999999,19.015925925925924,15.899999999999999,12.2,13.0,11.5,11.5,14.9,18.298125,15.133333333333333,14.466666666666667,14.466666666666667,15.75,11.9,17.722758620689657,11.2,11.2,11.2,,11.5,14.799999999999999,17.601666666666667,11.5
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,8.9,13.173571428571428,9.9,12.95,12.95,12.266666666666666,10.9,9.9,13.15227272727273,12.425,11.1,11.1,10.55,10.1,10.675,12.986136363636364,10.925,11.466666666666667,11.175,11.266666666666666,11.175,13.449347826086955,10.675,10.675,11.325,10.675,9.9,8.9,13.119047619047619,11.425
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.9,27.84875,,23.9,25.4,19.9,23.4,26.9,27.286666666666665,26.9,25.9,25.9,25.9,23.9,23.9,25.97,23.9,23.9,20.5,21.7,21.7,28.62857142857143,20.5,21.2,21.2,,24.5,23.7,28.185714285714287,22.9
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,9.9,9.9,,9.9,,,10.299999999999999,,,,,,,8.0,9.9,9.9,9.9,,,8.0,,,,,,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,30.95,,35.7,36.5,32.7,24.9,24.9,33.96,36.5,36.5,,29.9,23.9,27.2,32.08,24.5,26.2,26.2,25.9,25.9,26.9225,25.2,25.2,29.4,28.9,28.9,,36.0,31.5
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,39.64833333333333,,31.9,,,,,40.315,,,,,,,39.64833333333333,,,,,,39.977999999999994,,,,,,,38.958,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.266666666666666,13.444054054054055,11.95,12.266666666666666,11.95,13.45,12.933333333333332,12.933333333333332,13.344390243902438,12.933333333333332,12.933333333333332,12.1,11.766666666666666,12.7,14.5,13.114324324324325,14.5,12.2,12.266666666666666,12.266666666666666,11.6,13.106969696969697,12.95,12.95,11.933333333333332,11.933333333333332,11.6,10.933333333333332,13.244324324324324,11.266666666666666
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,11.67090909090909,,,6.9,6.9,6.9,6.9,11.620434782608696,6.9,6.9,6.9,,,,11.708095238095238,,6.9,6.9,6.9,,11.728,6.9,,,,,,11.341904761904763,6.9
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,6.9,8.741111111111111,6.9,6.9,6.9,6.9,6.9,6.9,8.716,6.9,6.9,6.9,6.9,6.9,6.9,8.811428571428571,6.9,6.9,6.9,6.9,6.9,8.252857142857144,6.9,6.9,6.9,6.9,6.9,6.9,8.9725,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.25,13.086285714285713,14.25,14.25,14.25,14.25,14.25,14.25,13.171449275362317,15.5,12.7,12.799999999999999,12.799999999999999,12.666666666666666,12.666666666666666,13.509014084507042,14.25,12.666666666666666,12.666666666666666,12.666666666666666,12.666666666666666,13.244383561643836,12.799999999999999,12.799999999999999,13.433333333333332,13.433333333333332,13.433333333333332,14.775,13.206338028169014,14.775
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.596666666666666,16.142093023255814,14.596666666666666,16.445,14.596666666666666,16.4,14.566666666666668,14.566666666666668,16.36609756097561,15.2,15.2,14.899999999999999,14.899999999999999,18.9,18.9,16.20341463414634,18.9,14.899999999999999,14.899999999999999,14.945,14.945,16.59277777777778,14.945,14.945,14.945,14.945,14.945,15.2,16.538157894736845,15.2
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,16.52021276595745,,,,,27.8,,16.0004,28.5,,15.9,15.0,15.0,15.0,16.021346153846153,21.95,21.95,21.95,15.0,18.95,16.419298245614034,18.95,19.4,19.4,19.4,19.4,18.95,16.805263157894736,18.95
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.666666666666666,15.632719999999999,15.666666666666666,15.666666666666666,15.666666666666666,15.666666666666666,15.725,15.725,15.840381679389314,15.725,15.725,15.725,14.975,14.666666666666666,14.975,15.834274809160306,14.975,15.725,15.725,15.725,15.575,15.240787401574803,13.766666666666666,13.766666666666666,13.433333333333332,13.433333333333332,13.433333333333332,13.433333333333332,15.222824427480916,15.1
