item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12,2022-05-14,2022-05-17
1761,IKAN KERAPU GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,45.0,,,
1762,IKAN KERAPU MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,15.0,,,
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,9.833333333333334,,,
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,8.6,,,
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,9.5,,,
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,9.0,,,
1770,IKAN BAWAL PUTIH MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,3.5,,,
1771,IKAN BAWAL PUTIH KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,3.5,,,
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.3307692307692305,7.0,,4.0
1773,IKAN KEMBUNG MASAK KICAP (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.948979591836735,,,
1774,IKAN KEMBUNG TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,6.480769230769231,,,5.0
1775,IKAN TENGGIRI GORENG,sekeping,MAKANAN SIAP MASAK,LAUK,5.2105263157894735,,,3.5
1776,IKAN TENGGIRI MASAK KARI,sekeping,MAKANAN SIAP MASAK,LAUK,5.5576923076923075,,,3.5
1777,IKAN TILAPIA GORENG BIASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.105263157894737,,,
1778,IKAN TILAPIA MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,9.285714285714286,,,
1779,IKAN TILAPIA KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,11.5,,,
1780,SUP PERUT,semangkuk,MAKANAN SIAP MASAK,LAUK,7.226190476190476,5.5,,
1782,ROTI NAAN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,,,
1783,ROTI CANAI BIASA,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.1767857142857143,,,1.0
1784,KUIH KARIPAP (KENTANG),sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4764705882352941,,,
1785,VADAI MASALA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.6,,,
1786,VADAI ULUNDHU,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.6,,,
1787,ROJAK BIASA,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.25,,6.0,
1788,ROJAK MI,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.961538461538462,,6.0,
1789,TEH TARIK PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7395833333333333,2.0,2.25,1.5
1790,"KOPI ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.7608040201005026,1.5,2.0,1.5
1791,KOPI AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.121904761904762,2.0,2.25,2.0
1792,TEH AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.0942583732057414,2.0,2.75,2.0
1793,NESCAFE AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.5535211267605633,2.5,2.75,3.0
1794,LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.854639175257732,1.65,2.5,1.5
1795,JUS OREN,segelas,MAKANAN SIAP MASAK,MINUMAN,3.4896103896103896,2.75,4.0,4.5
1796,CARROT SUSU,segelas,MAKANAN SIAP MASAK,MINUMAN,3.5661971830985912,2.75,4.0,4.5
1814,LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4361111111111111,1.45,2.0,1.0
1857,NASI KERABU (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,3.725,,4.0,
1858,NASI DAGANG (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,5.03125,,,
1859,"TEH ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.561611374407583,1.5,2.0,1.5
1860,"TEH ""O"" LIMAU AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.9781725888324873,1.8,2.75,1.7
1861,TEH HALIA AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.445801526717557,2.2,2.5,2.3
1862,"NESCAFE ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.148076923076923,2.4,3.0,2.5
1863,NESLO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.994607843137255,3.5,3.5,3.0
1864,HORLICKS AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.7044303797468356,2.75,3.5,3.0
1865,MILO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.5706161137440757,2.5,3.25,3.0
1866,"MILO ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.3135,2.5,2.5,2.5
1867,SIRAP AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.5095238095238095,1.25,2.0,1.5
1868,SIRAP LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.9414507772020724,1.5,2.25,1.7
1869,SIRAP BANDUNG AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.111822660098522,2.0,2.5,2.0
