item_code,item,unit,item_group,item_category,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,,29.25,,,29.25,,,,,,,,,29.25,,,,,,,29.25,
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,6.2,,6.391666666666667,6.234375,,,6.240414507772021,,,,,,,,6.327272727272727,6.230625,,,6.42,,,6.2700000000000005,6.200719424460432,7.0
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,7.642857142857143,7.523214285714286,,,7.52076923076923,,,,,,,,7.628571428571428,7.533628318584071,,,7.707692307692308,,,7.628571428571428,7.502941176470589,
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,7.0,,7.24,7.254054054054054,,,7.2626506024096384,,,,,,,,7.066666666666666,7.247826086956522,,,7.175,,,7.05,7.2709090909090905,8.0
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,,,,8.0,,8.95,8.957142857142857,,9.0,8.891414141414142,,,,,,,,8.954545454545455,8.954285714285714,,,9.434782608695652,,,8.954545454545455,8.891447368421053,8.0
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,23.0,29.0,,25.0,28.483333333333334,,,,,,,,24.142857142857142,29.5531914893617,,,,,,23.22222222222222,28.020408163265305,
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.32258064516129,33.69659863945578,33.67757575757576,33.57430167597766,33.53988439306358,33.656209150326795,32.039552238805975,32.726900584795324,32.7989010989011,32.80852272727273,32.7546511627907,33.2859649122807,33.233333333333334,33.799375,33.05988372093023,33.144262295081965,33.11411764705882,33.35454545454545,32.4872,33.034394904458594,33.14310344827586,33.483544303797466,33.232236842105266,33.51806451612903,33.34344827586207,32.52448979591837,33.50296296296296
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,36.583333333333336,36.36352941176471,35.76987951807229,35.66923076923077,35.95287356321839,35.654444444444444,35.789552238805975,36.71224489795919,36.228,36.44579439252336,35.99905660377359,36.539449541284405,36.04848484848485,36.55432098765432,36.372727272727275,36.41547619047619,35.76236559139785,36.90681818181818,35.80350877192982,36.25487804878049,36.080412371134024,37.074725274725274,36.63495145631068,36.72525252525253,37.04193548387097,36.01525423728814,36.12528735632184
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,37.8,40.06923076923077,,,41.35,,,,,,,,38.25,39.193333333333335,,,,,,37.5,40.90833333333333,
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,4.45,4.60701754385965,4.603225806451612,4.584375,4.5967213114754095,4.594915254237288,4.59375,4.626666666666667,4.603225806451612,4.547540983606557,4.552380952380952,4.5442857142857145,4.494915254237288,4.548333333333333,4.58125,4.517741935483872,4.484210526315789,4.484210526315789,4.5,4.567924528301886,4.553703703703704,4.555172413793104,4.548387096774194,4.573770491803279,4.573684210526316,4.46578947368421,4.507547169811321
