item_code,item,unit,item_group,item_category,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.79,3.79,3.645,3.5,,3.495,6.027777777777778,3.645,3.5,6.037279411764707,5.495,5.595000000000001,5.745,5.745,3.995,4.926666666666667,5.06,5.06,6.16463768115942,5.16,5.06,5.663571428571429,5.495,5.345000000000001,4.826666666666667,6.18992125984252,5.24
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,3.49,3.4966666666666666,3.62,3.6633333333333336,3.6633333333333336,3.62,4.765056603773585,3.62,3.62,4.74544776119403,3.62,3.4933333333333336,3.4933333333333336,3.4966666666666666,3.4966666666666666,3.5,3.5,3.5,4.766165413533835,3.6633333333333336,3.6633333333333336,4.362857142857143,3.6633333333333336,3.6633333333333336,3.6633333333333336,4.836216216216217,3.6633333333333336
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,,6.0,6.0,6.0,6.0,6.0,7.293515625,6.0,5.495,7.194632352941177,5.495,4.895,4.895,5.495,5.495,5.495,5.495,5.495,7.2570588235294125,5.495,5.495,5.495,5.495,5.495,5.495,7.303383458646617,5.495
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,,,,,,12.46625,,,12.3236,,,,,,,,,12.34125,,,,,,,12.320416666666667,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,14.647471264367816,,,,,,,,
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,,10.590598290598292,,,10.58863247863248,,,,,,,,,10.58141592920354,,,10.558333333333334,,,,10.598356807511736,
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,,9.367717391304348,,,9.37183908045977,,,,,,,,,9.373666666666667,,,,,,,9.375056179775282,
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,,9.35,,,9.35,,,,,,,,,9.35,,,,,,,9.35,
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,,11.39,,,11.39,,,,,,,,,11.39,,,,,,,,
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,,9.635504587155964,,,9.63091743119266,,,,,,,,,9.65609090909091,,,9.8,,,,9.648252427184465,
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,,12.583172413793102,,,12.577724137931034,,,,,,,,,12.551594202898551,,,12.310526315789474,,,,12.603217391304346,
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,,6.965432098765432,,,6.967560000000001,,,,,,,,,6.96578313253012,,,6.668181818181818,,,,7.044292682926829,
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,,4.249918699186992,,,4.250737704918033,,,,,,,,,4.251152263374485,,,4.232258064516128,,,,4.253303167420815,
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,,4.682762430939227,,,4.6773796791443845,,,,,,,,,4.671208791208791,,,4.55,,,,4.696733333333333,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,8.752857142857142,,,,,,,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,1.2,,,1.2,,,,,,,,,1.2,,,,,,,1.2,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,3.8,,,3.8,,,,,,,,,,,,,,,,,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,2.99,,,2.99,,,,,,,,,2.99,,,,,,,2.99,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,2.5,,,,,,,,,2.5,,,,,,,2.5,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,2.3,,,,,,,,,2.3,,,,,,,2.3,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,37.71440677966102,,,37.67155172413793,,,,,,,,,37.716379310344834,,,38.0,,,,37.58654545454546,
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,36.96491803278689,,,37.064499999999995,,,,,,,,,37.01350877192982,,,37.0,,,,36.98719298245614,
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,30.895048543689317,,,30.880280373831773,,,,,,,,,30.88504672897196,,,30.899999999999995,,,,30.888787878787877,
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,30.896153846153844,,,30.89578947368421,,,,,,,,,30.899056603773587,,,30.9,,,,30.89673913043478,
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,6.9,,,6.9,,,,,,,,,6.9,,,6.9,,,,6.9,
292,UBAT GIGI COLGATE (PUDINA SEGAR),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,14.9,,,14.9,,,,,,,,,14.9,,,,,,,14.9,
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,15.2,,,15.2,,,,,,,,,15.2,,,,,,,,
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,5.6,,,5.6,,,,,,,,,5.6,,,,,,,5.6,
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,,29.532777777777774,,,29.51390410958904,,,,,,,,,29.519863945578233,,,29.73125,,,,29.449689922480623,
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,,29.544583333333335,,,29.501678832116788,,,,,,,,,29.49036496350365,,,29.686363636363637,,,,29.477851239669423,
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,,6.343703703703704,,,6.345652173913043,,,,,,,,,6.3476208178438664,,,6.133333333333334,,,,6.3800425531914895,
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,,7.650194552529183,,,7.652941176470589,,,,,,,,,7.654183266932271,,,7.343902439024391,,,,7.709090909090909,
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,,7.383762886597938,,,7.383160621761658,,,,,,,,,7.382499999999999,,,7.166666666666667,,,,7.407115384615385,
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,,,,,,,9.225999999999999,,,9.256912442396313,,,,,,,,,9.27050925925926,,,9.671428571428573,,,,9.17570652173913,
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,,27.192307692307693,,,27.75,,,,,,,,,28.15625,,,,,,,27.59375,
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,28.0,33.0,34.0,,33.0,35.44451612903226,32.0,35.0,35.3084375,32.0,31.0,,30.0,29.0,29.0,29.0,28.0,34.402432432432434,27.0,27.0,30.0,28.0,33.0,33.0,34.51,28.0
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,36.136923076923075,,,36.43545454545455,,,,,,,,,35.45230769230769,,,,,,,35.567692307692305,
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,41.0,,,41.75,,,,,,,,,40.0,,,,,,,39.475,
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,,,,,,,4.479,,,4.432380952380952,,,,,,,,,4.4595,,,,,,,4.388947368421053,
869,BIJI SAWI,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,,,,,3.8,,,3.8,,,,,,,,,,,,,,,,,
883,KRIMER MANIS BERVITAMIN CAP F&N,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,,,,4.4421333333333335,,,4.448513513513514,,,,,,,,,4.44317880794702,,,4.3966666666666665,,,,4.450081967213115,
884,KRIMER MANIS CAP GOLD COIN,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,,,,3.426347826086957,,,3.4243859649122808,,,,,,,,,3.428141592920354,,,3.3869565217391306,,,,3.458787878787879,
904,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,,,36.736363636363635,,,36.542857142857144,,,,,,,,,36.55,,,,,,,36.70952380952381,
910,KORDIAL F&N (SIRAP ROS),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,12.407222222222224,,,,,,,,
