item_code,item,unit,item_group,item_category,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-27,2025-04-28,2025-04-29,2025-04-30
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.99,8.99,8.99,8.99,8.99,10.0648125,8.99,8.99,,,,8.99,11.060060240963855,8.99,8.99,,,,8.99,11.258192771084339,8.99,8.99,,,,11.319034482758621,10.874583333333334,8.99
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.99,13.99,13.99,13.99,13.99,11.031948051948053,13.99,15.79,,,15.79,15.79,11.028918918918919,,13.19,13.19,13.41,13.19,13.19,11.047333333333333,13.19,13.19,13.19,8.99,,10.937619047619048,10.705,8.99
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.99,9.99,9.99,9.99,9.99,13.78768115942029,9.99,9.99,9.99,7.99,7.99,9.99,12.737058823529411,,,,,,7.99,12.993809523809524,7.99,7.99,7.99,7.99,,12.381320754716981,11.986875,7.99
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,12.0,,12.0,12.0,10.418823529411766,,,,,,,9.87646153846154,12.0,12.0,,12.0,12.0,12.0,9.26515625,11.99,11.99,11.99,7.99,,9.182641509433962,8.849375,11.49
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,,,3.1761904761904756,,,,,,,3.2736842105263158,,,,,,,3.316666666666667,,,,,,3.4538461538461536,3.1,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,,,13.133333333333333,,,,,,,13.133333333333333,,,,,,,13.2,,,,,,13.1,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,,,9.083333333333334,,,,,,,8.77142857142857,,,,,,,9.465,,,,,,9.631666666666666,6.9,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,3.516363636363636,,,,,,,3.8275862068965516,,,,,,,3.9294444444444445,,,,,,3.934090909090909,4.088888888888889,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.99,2.99,2.99,2.99,2.99,5.7573684210526315,2.99,2.99,,,,2.99,5.7713636363636365,2.99,2.99,2.99,2.99,2.99,2.99,5.762272727272727,2.99,2.99,,,,5.627142857142857,5.038,2.99
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,11.29,11.29,11.29,10.584814814814814,11.29,11.29,11.29,11.29,11.29,11.29,10.669518072289158,11.29,11.29,11.29,11.29,11.29,8.49,10.633372093023256,8.49,8.49,8.49,8.49,,10.626093749999999,10.122272727272728,8.49
