item_code,item,unit,item_group,item_category,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,9.351547619047619,,,,,,,9.389662921348314,,,9.276805555555555,,,,9.839473684210526,,,,,,,9.435764705882352,,,,
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,9.35,,,,,,,9.35,,,9.35,,,,,,,,,,,9.35,,,,
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,12.39,,,,,,,11.49,,,,,,,,,,,,,,12.39,,,,
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,9.636509433962264,,,,,,,9.612924528301887,,,9.657411764705882,,,,9.434347826086958,,,,,,,9.60734693877551,,,,
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,12.518686131386861,,,,,,,12.495395683453237,,,12.474705882352941,,,,,,,,,,,12.477651515151514,,,,
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,6.980079365079365,,,,,,,6.972648221343873,,,6.944514767932489,,,,7.524285714285715,,,,,,,6.9768,,,,
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,4.24988326848249,,,,,,,4.256653386454183,,,4.259661835748792,,,,4.2158139534883725,,,,,,,4.247377049180328,,,,
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,4.656057142857144,,,,,,,4.665303867403315,,,4.634093567251463,,,,5.038666666666667,,,,,,,4.681271676300578,,,,
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,8.678421052631577,,,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.2,,,,,,,1.2,,,1.2,,,,,,,,,,,1.2,,,,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,3.8,,,3.8,,,,,,,,,,,3.8,,,,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,3.5,,,,,,,3.09,,,3.09,,,,,,,,,,,3.09,,,,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,2.5,,,,,,,2.5,,,2.5,,,,,,,,,,,2.5,,,,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,2.3,,,,,,,2.3,,,2.3,,,,,,,,,,,2.3,,,,
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,37.74425925925926,,,,,,,37.856346153846154,,,37.38829268292683,,,,38.78666666666666,,,,,,,37.93915254237288,,,,
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,36.74830188679245,,,,,,,36.8725,,,36.63041666666667,,,,38.10909090909091,,,,,,,36.85058823529412,,,,
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,30.87234693877551,,,,,,,30.873738317757006,,,30.880000000000003,,,,30.86619047619048,,,,,,,30.884368932038832,,,,
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,30.88867924528302,,,,,,,30.889090909090907,,,30.891836734693875,,,,30.880000000000003,,,,,,,30.886206896551723,,,,
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,6.9,,,,,,,6.9,,,6.9,,,,6.9,,,,,,,6.9,,,,
292,UBAT GIGI COLGATE (PUDINA SEGAR),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,14.9,,,,,,,14.9,,,14.9,,,,,,,,,,,14.9,,,,
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,15.2,,,15.2,,,,,,,,,,,15.2,,,,
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,5.6,,,,,,,5.6,,,5.6,,,,,,,,,,,5.6,,,,
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,29.506800000000002,,,,,,,29.521986754966886,,,29.53878048780488,,,,29.561999999999998,,,,,,,29.535231788079468,,,,
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,,29.492624113475177,,,,,,,29.461678321678324,,,29.453565217391304,,,,29.51153846153846,,,,,,,29.485142857142858,,,,
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,6.340407407407407,,,,,,,6.338586956521739,,,6.318816326530613,,,,6.499714285714286,,,,,,,6.339010989010989,,,,
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,7.671129707112971,,,,,,,7.658984375,,,7.630779816513761,,,,7.83232558139535,,,,,,,7.6688671875,,,,
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,7.396589595375722,,,,,,,7.379576719576719,,,7.416467065868263,,,,7.147777777777778,,,,,,,7.376,,,,
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,,,,,,9.278279069767443,,,,,,,9.293791469194312,,,9.186949152542374,,,,9.71875,,,,,,,9.305265700483092,,,,
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,27.311875,,,,,,,28.332666666666668,,,28.285,,,,,,,,,,,27.416666666666668,,,,
